state,zipcode,city,agegroup,gender,employment,occupation,template,spanish,extra_qualifs,internshipflag,customerservice,cpr,techskills,wpm,grammar,college,employeemonth,volunteer,skill,callback,adtitle,type
Utah,2,salt lake city,2,1,0,admin, A,0,0,0,0,0,0,1,1,1,1,1,1,0, administrative assistant,MB
Utah,1,salt lake city,3,1,0,admin, B,0,1,0,0,0,0,1,0,1,1,1,1,0, administrative assistant,OBE
New York,1,new york,3,0,1,security, A,1,1,0,0,1,0,0,0,0,1,1,1,0,experienced guards needed for bk nightclub,OBL
New York,3,new york,3,0,1,security, C,1,0,0,0,1,0,0,1,0,1,1,1,1,experienced guards needed for bk nightclub,OBE
New York,2,new york,1,0,1,security, B,1,1,0,0,0,0,0,1,1,0,1,1,1,experienced guards needed for bk nightclub,Y
Utah,2,salt lake city,2,1,0,admin, B,0,0,0,0,0,0,0,0,0,0,0,0,0,receptionist,MH
Utah,3,salt lake city,1,1,0,admin, C,0,1,0,0,0,0,1,1,1,0,1,1,0, receptionist,Y
Utah,2,salt lake city,2,1,0,admin, A,0,0,0,0,0,0,1,1,1,1,1,1,0, receptionist,MB
Utah,3,salt lake city,1,1,0,admin, A,0,0,0,0,0,0,0,0,0,0,0,0,0,receptionist,Y
Utah,1,salt lake city,3,1,0,admin, C,0,0,0,0,0,0,0,0,0,0,0,0,0,receptionist,OBE
Utah,1,salt lake city,3,1,0,admin, B,0,1,0,0,0,0,1,0,1,1,1,1,0, receptionist,OBE
Texas,3,houston,2,0,1,security, B,1,1,0,0,0,0,0,1,1,1,0,1,0,hiring security guards concierge for river oaks area,ML
Texas,2,houston,2,0,1,security, A,1,1,0,0,0,0,0,0,1,1,1,1,1,hiring security guards concierge for river oaks area,MH
Texas,1,houston,1,0,1,security, C,0,1,0,0,1,0,0,0,1,1,1,1,1,hiring security guards concierge for river oaks area,Y
Florida,1,sarasota,2,1,0,admin, B,0,0,0,0,0,0,0,0,0,0,0,0,1,administrativeassociate,ML
Florida,3,sarasota,1,1,0,admin, A,0,0,0,0,0,0,0,0,0,0,0,0,0,administrativeassociate,Y
Florida,2,sarasota,2,1,0,admin, C,0,0,0,0,0,0,0,0,0,0,0,0,0,administrativeassociate,MH
Massachusetts,3,boston,3,0,0,sales, C,0,0,0,0,0,0,0,0,0,0,0,0,0,retail sales representative,OBE
Massachusetts,2,boston,1,0,0,sales, A,0,0,0,0,0,0,0,0,0,0,0,0,0,retail sales representative,Y
Massachusetts,1,boston,2,0,0,sales, B,0,0,0,0,0,0,0,0,0,0,0,0,0,retail sales representative,MH
